Provider Approval Number,Service Approval Number,Legal Name,Trading Name,Address,Suburb,State,Postcode,Date Approval Granted,Conditions
PR-40005539,,MOHAMMAD TARIQ,VICTORIAN INHOUSE CARE AND LEARNING,56 Ohea St,COBURG,VIC,3058,16-07-2016,
PR-40005542,,Hope Frankston Heights PTY LTD,Hope Frankston South PTY LTD,3 Levida Dr,CARRUM DOWNS,VIC,3201,28-01-2016,
PR-40005580,,WILLOWBANK EARLY LEARNING CENTRE PTY LTD,,PO Box 423,GISBORNE,VIC,3437,02-11-2015,
PR-40005595,,LITTLE PATCH GROUP PTY LTD,Little Patch ELC,"PO Box 2108, WATTLETREE ROAD PO",MALVERN EAST,VIC,3145,26-10-2015,
PR-40005603,,BRITMORE PTY LTD ATF BENDRA UNIT TRUST,,U 102  636 Malvern Rd,PRAHRAN,VIC,3181,19-11-2015,
PR-40005615,,Little Learning Patch Cranbourne Pty Ltd ATF Little Learning Patch Cranbourne Trust,Little Learning Patch,"PO Box 2108, WATTLETREE ROAD PO",MALVERN EAST,VIC,3145,26-10-2015,
PR-40005656,,After the Bell Aus Pty Ltd ATF After The Bell Unit Trust,After The Bell Aus Pty Ltd,PO Box 7082,UPPER FERNTREE GULLY,VIC,3156,02-11-2015,
PR-40005662,,MICHELLE CORNELL,WATCH ME GROW EARLY LEARNING CENTRE,U 9  450 Doncaster Rd,DONCASTER,VIC,3108,11-11-2015,
PR-40005668,,EG8 Operations PTY LTD ATF EG8 Operations Unit Trust,Eclipse Early Education Epping,"L 1, 92 Thistlethwaite St",SOUTH MELBOURNE,VIC,3205,26-10-2015,
PR-40005698,,Thi Tuong Vy Nguyen,,13 Escott Gr,BERWICK,VIC,3806,22-06-2016,
PR-40005711,,Happy Hippo Kindergarten and Childcare Pty Ltd ATF Happy Hippo Kindergarten and Childcare Trust,Happy Hippo Kindergarten and Childcare,16 Solent Cres,TAYLORS LAKES,VIC,3038,29-08-2016,
PR-40005756,,Kang Ong,KinderPlay Early Learning Centre,2 Primrose St,BLACKBURN NORTH,VIC,3130,02-05-2016,
PR-40005801,,YUILLE PARK P-8 COMMUNITY COLLEGE SCHOOL COUNCIL,YUILLE PARK P-8 COMMUNITY COLLEGE 5520,PO Box 42,WENDOUREE,VIC,3355,18-12-2015,
PR-40005831,,GOLD STAR FAMILY DAY CARE PTY LTD,GOLD STAR FAMILY DAY CARE PTY LTD,U 159  90 Brunswick St,FITZROY,VIC,3065,22-07-2016,
PR-40005963,,JOSIE'S BRIGHT BEGINNINGS PTY LTD ATF JOSIE'S BRIGHT BEGINNINGS TRUST,Josie's Bright Beginnings,47-49 Wattle Valley Drive,HILLSIDE,VIC,3037,18-12-2015,
PR-40005974,,DISCOVERY TREE EARLY LEARNING CENTRE PTY. LTD. ATF DISCOVERY TREE EARLY LEARNING CENTRE UNIT TRUST,DISCOVERY TREE EARLY LEARNING CENTRE,PO Box 161,CLARINDA,VIC,3169,18-12-2015,
PR-40005989,,Northwest Montessori Pty Ltd ATF Northwest Montessori Operating Trust,Northwest Montessori Preschool,PO Box 401,ESSENDON,VIC,3040,30-12-2015,
PR-40006014,,UPPER FERNTREE GULLY PRIMARY SCHOOL COUNCIL,,Talaskia Road,UPPER FERNTREE GULLY,VIC,3156,09-12-2015,
PR-40006018,,Aldercourt Primary School,Aldercourt Primary School,"PO Box 1013, Belvedere Park",SEAFORD,VIC,3198,08-01-2016,
PR-40006068,,Learning 4 Kidz Pty Ltd,Learning 4 Kidz Pty Ltd,67 Sydney Rd,COBURG,VIC,3058,18-05-2016,
PR-40006089,,DAALO FAMILY DAY CARE PTY LTD,,3 Walmer Rd,DERRIMUT,VIC,3030,14-01-2016,
PR-40006120,,Kids Individual Daycare Solutions Pty. Ltd. ATF Clark Family Trust,Kids Individual daycare solutions,7 Linacre Rd,HAMPTON,VIC,3188,26-09-2016,
PR-40006157,,Ella Early Education Pty Ltd,Ella Early Education,31 Chiltern Street,BROADMEADOWS,VIC,3047,29-08-2016,
PR-40006183,,BOX HILL INSTITUTE,BOX HILL INSTITUTE,Private Bag 2014,BOX HILL,VIC,3128,08-01-2016,
PR-40006189,,Grace O'Hara,A1 Community Family Day Care,254 Balwyn Road,BALWYN NORTH,VIC,3104,12-07-2016,
PR-40006223,,AL IMAN COLLEGE LTD,AL IMAN COLLEGE LTD,"Al Iman College Ltd, 20-40 Rees Rd",MELTON SOUTH,VIC,3338,23-03-2016,
PR-40006262,,CFM Support Pty Ltd,Childcare Friendly Management and Support,18 Lofty Rd,TARNEIT,VIC,3029,19-10-2016,
PR-40006294,,JH KIDS SUNSHINE ENTERPRISES PTY LTD,,28 Sea View St,CAULFIELD SOUTH,VIC,3162,15-03-2016,
PR-40006330,,DINGMING INVESTMENT PTY LTD ATF DINGMING FAMILY TRUST,DINGMING Investment PTY LTD,2 Terama Ct,GLEN WAVERLEY,VIC,3150,04-02-2016,
PR-40006340,,MADE FOR LEARNING PTY. LTD. ATF JADE INGLEBY FAMILY TRUST,,122 Cole St,BRIGHTON,VIC,3186,19-01-2016,
PR-40006347,,Kids Family Day Care Pty Ltd,KIDS FAMILY DAY CARE,PO Box 8163,NORTHLAND CENTRE,VIC,3072,27-05-2016,
PR-40006377,,Foundations Family Day Care Pty. Ltd. as Trustee for K&3C Family Trust,Foundations Family Day Care,4 Kylie Cl,MOOROOLBARK,VIC,3138,09-02-2016,
PR-40006395,,Shinetime Early Learning Center Pty Ltd,Shinetime Early Learning Center Pty Ltd,1a Foam St,ELWOOD,VIC,3184,13-04-2016,
PR-40006437,,FUTURE SUPER STARS ELC SUNSHINE PTY LTD,,33 Cooper Street,EPPING,VIC,3076,30-12-2015,
PR-40006458,,LUNA FAMILY DAY CARE SCHEME PTY LTD,LUNA FAMILY DAY CARE SCHEME PTY LTD,U 2  65-67 Potter St,DANDENONG,VIC,3175,18-10-2016,
PR-40006459,,KATIE BRUCE,Sticks and Stones OSHC,28 Gyro Cl,RIDDELLS CREEK,VIC,3431,18-01-2016,
PR-40006475,,Haddon Primary School Council,Haddon PS,"Haddon Primary School, 398 Sago Hill Rd",HADDON,VIC,3351,23-03-2016,
PR-40006484,,Angelic Baby Pty Ltd ATF Angelic Baby Unit Trust,,76 Longshore Drive,CLYDE NORTH,VIC,3978,20-04-2016,
PR-40006502,,SUBHA BHARAT,MAGIC KIDS FAMILYDAYCARE,6 Royal Oaks Dr,TARNEIT,VIC,3029,30-08-2016,
PR-40006514,,MERIAM ELHASSAN,,240 McCormicks Rd,SKYE,VIC,3977,19-02-2016,
PR-40006520,,Cassnic Childcare Developments Pty Ltd,,40 Adelaide St,ARMADALE,VIC,3143,08-03-2016,
PR-40006531,,Hanh Ngoc Thi Tran,,15 Burden Street,SPRINGVALE,VIC,3171,20-04-2016,
PR-40006545,,Happy Jack's Ballarat Pty Ltd ATF Happy Jack's Unit Trust,Happy Jacks Play,17 Kristy Dr,SPRING GULLY,VIC,3550,30-05-2016,
PR-40006631,,G & G FOR KIDZ PTY LTD ATF M Gabriel & F Gaoa Family Trust,G & G FOR KIDZ PTY LTD,21 Davenport Dr,WILLIAMS LANDING,VIC,3027,19-10-2016,
PR-40006652,,Sunnyside Early Learning Centre Pty Ltd ATF Montessori Unit Trust,Wyndham Vale Montessori Centre,PO Box 4217,BURWOOD EAST,VIC,3151,30-05-2016,
PR-40006676,,Maddingley Montessori Centre Pty Ltd as trustee for Maddingley Montessori Centre Unit Trust,Maddingley Montessori Centre,1/1 Hoylake Gr,MORNINGTON,VIC,3931,27-04-2016,
PR-40006750,,Ayline Oshana,Chosen Family Daycare Service,8 Nottingham Cl,CRAIGIEBURN,VIC,3064,04-04-2016,
PR-40006760,,Timothy James Walsh,All Star KIds,U 4  7 Waverley Ave,IVANHOE,VIC,3079,20-04-2016,
PR-40006778,,BALL SLOAN ENTERPRISES PTY. LTD.,Bright Minds Early Learning Centre,U 502  10 Martin St,ST KILDA,VIC,3182,15-03-2016,
PR-40006793,,DJ & AC Prentice,Free Spirit Childcare,29 Henty St,DUNKELD,VIC,3294,22-06-2016,
PR-40006799,,TREKKAZ PTY. LTD.,Trekkaz Child care,138 Violet St,BENDIGO,VIC,3550,19-09-2016,
PR-40006805,,EARLIEST PTY LTD,Earliest,U 12  33 Murphy St,SOUTH YARRA,VIC,3141,23-03-2016,
PR-40006942,,Niki Tsakalidis,Heroes and Champs Early Learning Centre,4 Athalie Rise,DOREEN,VIC,3754,27-04-2016,
PR-40006986,,KHALID MAHMOOD,,17 Clematis Ct,MEADOW HEIGHTS,VIC,3048,30-09-2016,
PR-40006995,,CHILDBIZ OPERATIONS PTY LTD,Nino Early Learning Adventures,PO Box 5145,BURNLEY,VIC,3121,19-10-2016,
PR-40007021,,CREST CHILDREN'S SANCTUARY PTY. LTD.,CREST Children's Sanctuary,57-59 Stud Rd,DANDENONG,VIC,3175,27-04-2016,
PR-40007070,,Amsha Nahid,,38 Talliver Tce,TRUGANINA,VIC,3029,30-09-2016,
PR-40007073,,GRACEFUL COMMUNITY SERVICES INC.,,20 Childs Rd,EPPING,VIC,3076,18-05-2016,
PR-40007135,,EG10 Operations PTY LTD ATF EG10 Operations Unit Trust,Eclipse Early Education Lyndhurst,"L 1, 92 Thistlethwaite St",SOUTH MELBOURNE,VIC,3205,14-04-2016,
PR-40007165,,IOANA LELEI,,21 Edmund Dr,TARNEIT,VIC,3029,30-05-2016,
PR-40007172,,Patterson Lakes Childcare Pty Ltd ATF Mentone Kindergarten Discretionary Trust,Mentone Childcare & Kindergarten,3 Willoby Ave,GLEN IRIS,VIC,3146,10-05-2016,
PR-40007227,,MAYFIELD CHILDCARE LIMITED,Mayfield Early Education,"Suite 2, Ground Floor, 207-213 Waverley Rd",MALVERN EAST,VIC,3145,07-07-2016,
PR-40007277,,ST MONICAS SCHOOL,ST MONICA'S SCHOOL,2 Wingfield St,FOOTSCRAY,VIC,3011,15-06-2016,
PR-40007278,,GUMBOOTS EARLY LEARNING CENTRE PTY LTD,Gumboots Early Learning Pty Ltd,730 Elizabeth Dr,SUNBURY,VIC,3429,04-07-2016,
PR-40007372,,ST PETERS SCHOOL CLAYTON,St. Peter's School,"The Principal, St. Peter's School, 16 Mary Street",CLAYTON,VIC,3168,12-05-2016,
PR-40007386,,CRESCENT FAMILY DAY CARE PTY. LTD.,Crescent Family Day care,U 64  12 Sutton St,NORTH MELBOURNE,VIC,3051,30-05-2016,
PR-40007425,,Little Patch ELC St Kilda East Pty Ltd ATF Little Patch ELC St Kilda East Trust,Little Patch ELC,PO Box 2108,WATTLETREE ROAD PO,VIC,3145,27-04-2016,
PR-40007510,,EVANS PARK EARLY LEARNING CENTRE & KINDERGARTEN PTY LTD ATF Evans Park Trust,Evans Park Early Learning Centre and Kindergarten,21-22 Lansell Cl,NARRE WARREN SOUTH,VIC,3805,04-07-2016,
PR-40007549,,Incursions Pty Ltd,Supreme Incursions,PO Box 56,FLEMINGTON,VIC,3031,29-08-2016,
PR-40007572,,K & A ENTERPRISE PTY LTD,K & A ENTERPRISE PTY LTD,U 1  63 Hamilton St,CRAIGIEBURN,VIC,3064,28-09-2017,
PR-40007573,,KRISTIE SALE,Little Groms Early Learning,219 Fischer St,TORQUAY,VIC,3228,15-06-2016,
PR-40007601,,VICTORIA EARLY LEARNING CENTRE PTY. LTD.,VICTORIAN EARLY LEARNING CENTRE,PO Box 8165,TARNEIT,VIC,3029,16-07-2016,
PR-40007639,,Discovery X Pty Ltd,Discovery Childcare and Education,159-161 Eastern Rd,SOUTH MELBOURNE,VIC,3205,15-06-2016,
PR-40007659,,HOSNEYAH QASEMI,,U 4  3 Hemmings St,DANDENONG,VIC,3175,12-09-2016,
PR-40007685,,Black Rock Pre School Centre Inc.,Black Rock Pre School Centre Inc.,55 Bluff Rd,BLACK ROCK,VIC,3193,04-07-2016,
PR-40007695,,The Trustee for THE BURNRADE INVESTMENT TRUST,Grandma's House Nursery & Kindergarten,66 Camera Walk,COBURG NORTH,VIC,3058,02-06-2016,
PR-40007760,,LITTLE ANGELS CHOICE FAMILY DAY CARE PTY LTD,LITTLE ANGELS CHOICE FAMILY DAY CARE,U 4  388 Albion St,BRUNSWICK WEST,VIC,3055,15-11-2016,
PR-40007781,,TOAFA NUUAMOA,TRIPLE B FAMILY DAY CARE AND TRAINING,16 Dartmoor Ct,MEADOW HEIGHTS,VIC,3048,10-11-2016,
PR-40007785,,BRIGHT KIDS FDC PTY LTD,BRIGHT KIDS FDC PTY LTD,9 Ronald Rd,TRUGANINA,VIC,3029,15-11-2016,
PR-40007883,,TLC (VIC) PTY LTD,,U 29  3 Seisman Pl,PORT MELBOURNE,VIC,3207,29-08-2016,
PR-40007886,,WEI JIE SNG,,U 413  1 Bouverie St,CARLTON,VIC,3053,10-10-2016,
PR-40007888,,BLUE BELLS FAMILY DAY CARE PTY. LTD.,,33 Lancewood Road,WYNDHAM VALE,VIC,3024,29-08-2016,
PR-40007907,,KOOL KIDZ ELC PTY LTD ATF KOOL KIDZ ELC UNIT TRUST,KIDZ CORNER ELC,U 1  875 Glen Huntly Rd,CAULFIELD,VIC,3162,10-10-2016,
PR-40008021,,BERWICK WATERS EARLY LEARNING CENTRE PTY LTD,Berwick Waters Early Learning Centre Pty Ltd,L 7  484 St Kilda Rd,MELBOURNE,VIC,3004,19-10-2016,
PR-40008122,,J GHANEM & W TRAD,,2 Sobar Ct,KEILOR DOWNS,VIC,3038,28-09-2016,
PR-40008123,,SIX ALBERT INVESTMENTS PTY. LTD.,The Orchard Early Learning Centre,37 Harcourt St,HAWTHORN EAST,VIC,3123,29-08-2016,
PR-40008133,,MYK PTY LTD ATF The MYK Family Trust,,203 Springvale Rd,NUNAWADING,VIC,3131,19-09-2016,
PR-40008134,,MOUNT SCOPUS MEMORIAL COLLEGE EARLY LEARNING LIMITED,,245 Burwood Highway,BURWOOD,VIC,3125,19-10-2016,
PR-40008140,,PLATYPUS CHILDCARE PTY LTD,,33 Cooper Street,EPPING,VIC,3076,19-09-2016,
PR-40008206,,KJ & CJ Beer-Brewer Pty Ltd,Wyndham Early Learning,617 Wyndham Street,SHEPPARTON,VIC,3630,19-09-2016,
PR-40008404,,KERYN JOHNSON,Leap Ahead Learning,22 Palpera Tce,GREENSBOROUGH,VIC,3088,21-10-2016,
PR-40008418,,Platypus Junction Mulgrave Pty Ltd ATF Platypus Junction Mulgrave Trust,Platypus Junction Mulgrave Pty Ltd,PO Box 2342,BRIGHTON NORTH,VIC,3186,19-09-2016,
PR-40008433,,MAXAL PTY. LTD.,,61 Balaclava Rd,ST KILDA EAST,VIC,3183,19-10-2016,
PR-40008621,,Bacchus Marsh Grammar,Bacchus Marsh Grammar,PO Box 214,BACCHUS MARSH,VIC,3340,02-12-2016,
PR-40008645,,WELS SCHOOL (WELLBEING. ENTREPRENEURSHIP. LEADERSHIP. SUSTAINABILITY) PTY LTD.,WELS School,U 5  2 Freeman St,HAWTHORN EAST,VIC,3123,12-12-2016,
PR-40008669,,1 TO Z GROUP PTY LTD,,13 Malta St,IVANHOE,VIC,3079,21-10-2016,
PR-40008701,,Mandeep Kaur,Play `n` Learn Early Learning Centre,U 1  6 Granholm Gr,MELTON WEST,VIC,3337,23-12-2016,
PR-40008769,,TRISKELION GROUP PTY. LTD. ATF TRISKELION UNIT TRUST,KOOL KIDZ RAVENHALL PTY.LTD.,3 Nexus St,RAVENHALL,VIC,3023,19-12-2016,
PR-40008823,,ALL DAY LONG PTY LTD,All day long,18 Ceduna Cl,TORQUAY,VIC,3228,19-10-2016,
PR-40008863,,Altona Early Learning Centre Pty Ltd ATF Azzopardi Family Trust,Altona Early Education Centre Pty Ltd,40 Sargood St,ALTONA,VIC,3018,16-01-2017,
PR-40008868,,EG12 Operations PTY LTD ATF EG12 Operations Unit Trust,Eclipse Early Education Pimpama,"Level 1, 92 Thistlethwaite Street",SOUTH MELBOURNE,VIC,3205,19-10-2016,
PR-40008925,,CHILDSPLAYCORIO PTY. LTD.,Childsplaycorio,3 Purnell Rd,CORIO,VIC,3214,10-11-2016,
PR-40008958,,K.A COSTER & M.T MCPHERSON,Bee Active On Holidays,15 Pettit Street,WARRAGUL,VIC,3820,29-11-2016,
PR-40009019,,SHIRLEY ROBERTSON CHILDRENS CENTRE INC,Shirley Robertson Children's Centre,1A Cameron Street,COBURG,VIC,3058,21-11-2016,
PR-40009070,,INSPIRA KIDS EARLY LEARNING CENTRE SHEPPARTON PTY. LTD.,Inspira Kids Early Learning Centre,"Suite 220 Rooftop Level, Gladstone Park Shopping Centre",GLADSTONE PARK,VIC,3043,02-12-2016,
PR-40009078,,LANG PARK EARLY LEARNING CENTER AND KINDERGARTEN PTY LTD,Lang Park Early Learning Centre and Kindergarten,14 Hafey Way,LANGWARRIN,VIC,3910,21-10-2016,
PR-40009099,,SNC EDUCATION AND CARE SERVICES PTY. LTD.,SNC Education and Care Pty Ltd,20 Cranbrook Cct,OFFICER,VIC,3809,24-01-2017,
PR-40009117,,E BOLT & J.R HUNT,Tween FOMO,24 Blucher St,FERNTREE GULLY,VIC,3156,08-05-2017,
PR-40009134,,SCA LATOUCHE NOMINEES PTY. LTD. ATF LATOUCHE FAMILY TRUST,LA GRANDE RECRE,16 McFarlane Ct,HIGHETT,VIC,3190,19-12-2016,
PR-40009161,,BARNAWARTHA PRIMARY SCHOOL COUNCIL,Barnawartha Primary School,"Barnawartha Primary School, 11-17 Stanley St",BARNAWARTHA,VIC,3688,21-10-2016,
PR-40009187,,Bambini Hampton Pty Ltd,Bambini Hampton Pty Ltd,20B Armstrong Street,MIDDLE PARK,VIC,3206,18-11-2016,
PR-40009232,,OUR LADY'S SCHOOL WANGARATTA SCHOOL COUNCIL,Our Lady's Primary School,1-5 Ford St,WANGARATTA,VIC,3677,23-12-2016,
PR-40009253,,Sturt Street Early Learning Pty. Ltd.,Sturt Street Early Learning,171 Park St,SOUTH MELBOURNE,VIC,3205,27-03-2017,
PR-40009265,,Ceri Matthews,Coastal Family Day Care,U 1  17 Island Dr,TORQUAY,VIC,3228,24-03-2017,
PR-40009285,,C.L SAVAGE & J.L TIDD,School Support Services,PO Box 72,BELMONT,VIC,3216,11-11-2016,
PR-40009314,,Platypus Junction Croydon Pty Ltd ATF Platypus Junction Croydon Trust,Platypus Junction Croydon Pty Ltd,12 Kanowna St,HAMPTON,VIC,3188,15-11-2016,
PR-40009335,,BILINGUAL MONTESSORI PTY LTD,BILINGUAL MONTESSORI PTY LTD,PO Box 8036,CROYDON,VIC,3136,19-12-2016,
PR-40009341,,SLK TRADING ARMADALE PTY LTD,Explorers Early Learning - Armadale,PO BOX 8296,ARMADALE,VIC,3143,07-12-2016,
PR-40009346,,Happy Feet Education PTY LTD ATF Millsteed Family Trust,Happy Feet Education,161 Bulmans Rd,HARKNESS,VIC,3337,23-12-2016,
PR-40009348,,IS HOLDINGS (AUSTRALIA) PTY. LTD. ATF IS Holdings Unit Trust,Inverloch Childcare,11-13 Williams Street,INVERLOCH,VIC,3996,16-01-2017,
PR-40009395,,KEILOR HEIGHTS EARLY LEARNING CENTRE PTY LTD,Keilor Heights Early LEarning Centre,45 Shelley Street,KEILOR EAST,VIC,3033,05-04-2017,
PR-40009397,,SELIMIYE FOUNDATION LIMITED,,22-24 Lismore St,DALLAS,VIC,3047,19-05-2017,
PR-40009402,,Kim & Forday Pty Ltd ATF Forday Family Trust,NORITER BILINGUAL EARLY LEARNING,478 Haughton Rd,CLAYTON SOUTH,VIC,3169,30-05-2017,
PR-40009481,,The Loop OOSH PTY LTD,The Loop OOSH PTY LTD,PO Box 16,KYABRAM,VIC,3619,27-03-2017,
PR-40009515,,The Trustee for Country Way Early Learning,Country Way Early Learning,PO Box 879,MERBEIN,VIC,3505,09-03-2017,
PR-40009544,,EDU4FUTURE PTY LTD,,384 Lower Heidelberg Rd,EAGLEMONT,VIC,3084,28-06-2017,
PR-40009629,,R.J CIDDOR & J.P KALBSTEIN,MakerDojo,38 Park Cres,CAULFIELD NORTH,VIC,3161,20-04-2017,
PR-40009648,,Stephane Nicolas Brisson,,710 Inkerman Rd,CAULFIELD NORTH,VIC,3161,23-12-2016,
PR-40009651,,Fairy Hills Kindergarten Association Inc,,356 Upper Heidelberg Rd,IVANHOE,VIC,3079,07-12-2016,
PR-40009669,,AMIGA Montessori Beveridge Pty Ltd ATF Amiga Montessori Beveridge Unit Trust,Amiga Montessori Beveridge,39 Elmwood Cres,GLEN WAVERLEY,VIC,3150,19-12-2016,
PR-40009690,,Heroes and Champs Pty Ltd ATF TN Tsakalidis Family Trust,Heroes and Champs,22 Orloff Ct,BURWOOD EAST,VIC,3151,01-03-2017,
PR-40009750,,Mansfield Shire Council,Mansfield Shire Council,33 Highett St,MANSFIELD,VIC,3722,27-03-2017,
PR-40009832,,The Trustee for Twinkle Star Unit Trust,CHILDREN'S CORNER LEARNING CENTRE,63 Nancy St,CHELTENHAM,VIC,3192,16-01-2017,
PR-40009837,,AMIGA Montessori Reservoir Pty Ltd ATF Amiga Montessori Reservoir Unit Trust,AMIGA Montessori Reservoir Pty Ltd,6/15 Howleys Road,NOTTING HILL,VIC,3168,29-12-2016,
PR-40009839,,AMIGA Montessori Greens Rd Wyndham Vale Pty. Ltd. ATF Amiga Montessori Greens Rd Wyndham Vale Unit Trust,AMIGA MONTESSORI GREENS RD WYNDHAM VALE PTY. LTD.,6/15 Howleys Road,NOTTING HILL,VIC,3168,29-12-2016,
PR-40009921,,Delsouth McKinnon Pty Ltd ATF Delsouth McKinnon Unit Trust,Buckets Early Learning Centre,253 Wattletree Rd,MALVERN,VIC,3144,16-01-2017,
PR-40009925,,UNIVERSE FAMILY DAY CARE PTY LTD,,"Brandon Park Corporate Centre, L 3  2 Brandon Park Dr",WHEELERS HILL,VIC,3150,20-12-2017,
PR-40009949,,Journey Group Holdings Pty Ltd ATF Journey ELC No. 7 Unit Trust,Journey Group Holdings Pty Ltd ATF Journey ELC No.7 Unit Trust,82-84 Blackshaws Rd,SOUTH KINGSVILLE,VIC,3015,06-03-2017,
PR-40009950,,PLATYPUS JUNCTION LANGWARRIN PTY LTD,Platypus Junction Langwarrin Pty Ltd,PO Box 2342,BRIGHTON NORTH,VIC,3186,23-02-2017,
PR-40009956,,Rana Karam,Rana Karam,137 Doncaster Rd,BALWYN NORTH,VIC,3104,16-10-2017," The person with management or control must undertake professional development in Quality Area 7 of the National Quality Standard and provide evidence of completion to the Regulatory Authority prior to any application for service approval being considered.

The professional development must be delivered by a recognised early childhood training organisation or expert, approved in writing by the Regulatory Authority prior to undertaking the professional development."
PR-40009959,,FUTURISTIC TRAINING AND RECRUITMENT SERVICES PTY. LTD.,Futuristic Training and Recruitment Services Pty Ltd,4 Manna Way,POINT COOK,VIC,3030,18-09-2017,
PR-40009963,,ME FOR KIDS PTY LTD,,"Thomastown Learning Centre, 113 Dalton Rd",THOMASTOWN,VIC,3074,19-04-2017,
PR-40009967,,Musical Minds Family Day Care Pty Ltd ATF Ajith & Anoma Perera Family Trust,Musical Minds Family Day Care Pty Ltd,6 Cremona Pl,NARRE WARREN SOUTH,VIC,3805,01-09-2017,
PR-40010007,,FIRST IDEA TRAINING SOLUTIONS PTY LTD ATF GOUNDER FAMILY TRUST,FIRST IDEA FAMILY DAY CARE SERVICES,94 Doveton Ave,EUMEMMERRING,VIC,3177,18-08-2017,
PR-40010110,,Alamanda Montessori Centre Pty Ltd ATF Alamanda Montessori Centre Trust,ALAMANDA MONTESSORI CENTRE PTY LTD,6/15 Howleys Road,NOTTING HILL,VIC,3168,20-01-2017,
PR-40010131,,Bell Kids Operations Pty Ltd,Nino Early Learning Adventures,480 Swan St,RICHMOND,VIC,3121,06-06-2017,
PR-40010282,,J.F BARR & M.E SINCLAIR,Apollo Bay Child Care Services,11 The Otway Vista,APOLLO BAY,VIC,3233,21-04-2017,
PR-40010289,,VILLAGE EARLY EDUCATION GROUP PTY LTD,,528 Eureka St,EUREKA,VIC,3350,23-05-2017,
PR-40010295,,ST THERESE'S CATHOLIC CHURCH - KENNINGTON,Assisi Kindergarten,25 Albion St,KENNINGTON,VIC,3550,20-03-2017,
PR-40010300,,Creative Learners Pty Ltd,Sherpa Kids Victoria,12 Calibre Circuit,CLYDE NORTH,VIC,3978,25-05-2017,
PR-40010316,,Bright Minds ELC Bannockburn Pty Ltd,Bright Minds ELC Bannockburn,10 Station Street,NORLANE,VIC,3214,19-05-2017,"The Approved Provider must undertake professional development in the National Quality Standard and provide evidence of completion to the Regulatory Authority prior to submitting an application for service approval.

  
 The professional development must be delivered by a recognised early childhood training organisation or expert, approved in writing by the Regulatory Authority, prior to undertaking the professional development."
PR-40010327,,LITTLE GROMS EARLY LEARNING PTY LTD ATF Little Groms Early Learning Family Trust,Little Groms Early Learning,88 Geelong Rd,TORQUAY,VIC,3228,27-03-2017,
PR-40010363,,Amiga Montessori Hoppers Crossing Pty Ltd ATF Amiga Montessori Hoppers Crossing Unit Trust,Amiga montessori hoppers crossing,"Suite 2401, 68-70 Dorcas St",SOUTHBANK,VIC,3006,17-03-2017,
PR-40010369,,MOSKA MIRKHIL,,U 1  86 Ferntree Gully Rd,OAKLEIGH EAST,VIC,3166,21-06-2017,
PR-40010383,,Amiga Montessori Caroline Springs Pty Ltd ATF Amiga Montessori Caroline Springs Unit Trust,Amiga montessori Caroline springs,39 Elmwood Cres,GLEN WAVERLEY,VIC,3150,20-03-2017,
PR-40010397,,SHELFORD PRIMARY SCHOOL COUNCIL,,1717 Bannockburn-Shelford Rd,SHELFORD,VIC,3329,03-05-2017,
PR-40010411,,Starfish Childcare Clayton South Pty Ltd ATF Starfish Clayton South Trust,Starfish Early Learning Centre (Clayton South),PO Box 85,DINGLEY VILLAGE,VIC,3172,21-04-2017,
PR-40010435,,Mahendra Prasad,Spectrum Family Day Care,2 Kayla Ct,EPPING,VIC,3076,21-05-2018,"The persons with management or control must undertake professional development in Quality Area 1, 2 and 7 of the National Quality Standard and provide evidence of completion to the Regulatory Authority prior to any application for service approval being considered.
The professional development must be delivered by a recognised early childhood training organisation or expert, approved in writing by the Regulatory Authority prior to undertaking the professional development.
"
PR-40010462,,WESLEY COLLEGE MELBOURNE,WESLEY COLLEGE MELBOURNE,577 St Kilda Rd,MELBOURNE,VIC,3004,30-05-2017,
PR-40010489,,BAMBINI CENTRE ROAD PTY LTD,Bambini Centre Rd Pty Ltd,"Level 1, 117-125 York Street",SOUTH MELBOURNE,VIC,3205,19-04-2017,
PR-40010538,,LILI'S EARLY LEARNING PTY LTD,,"5, 66-70 Railway St S",ALTONA,VIC,3018,16-11-2017,"The persons with management or control must undertake professional development, within 6 months of being granted provider approval, in Quality Areas 1 and 7 of the National Quality Standard, and the Child Safe Standards and provide evidence of completion to the Regulatory Authority within 14 days.

The professional development must be delivered by a recognised early childhood training organisation or expert, approved in writing by the Regulatory Authority prior to undertaking the professional development.


"
PR-40010580,,Guirguis Manoly,,3/15 Lisbeth Ave,DONVALE,VIC,3111,09-10-2017,
PR-40010721,,MAGICAL SMILE FAMILY DAY CARE PTY LTD,MAGICAL SMILE FAMILY DAY CARE PTY LTD,10 Delbridge Dr,MERNDA,VIC,3754,16-11-2017,"The persons with management or control must undertake professional development, within 6 months of being granted provider approval, in Quality Areas 1 and 7 of the National Quality Standard, and the Child Safe Standards and provide evidence of completion to the Regulatory Authority within 14 days of completion of the professional development.

The professional development must be delivered by a recognised early childhood training organisation or expert, approved in writing by the Regulatory Authority prior to undertaking the professional development.

"
PR-40010731,,Plenty Valley Christian Education Limited,Plenty Valley Christian College,"Plenty Valley Christian School, 840 Yan Yean Rd",DOREEN,VIC,3754,08-06-2017,
PR-40010808,,Sulakshi Portia Martil,IL BAMBINO MONTESSORI,2 Chester Ct,ENDEAVOUR HILLS,VIC,3802,13-11-2017,
